FLsk       Skeletic Fluvisol
FLso       Sodic Fluvisol
FLst       Stagnic Fluvisol
FLsz       Salic Fluvisol
FLtf       Tephric Fluvisol
FLti       Thionic Fluvisol
FLty       Takyric Fluvisol
FLum       Umbric Fluvisol
FLye       Yermic Fluvisol
FR         Ferralsol
FRac       Acric Ferralsol
FRan       Andic Ferralsol
FRar       Arenic Ferralsol
FRau       Alumic Ferralsol
FRdyh      Hyperdystric Ferralsol
FReuh      Hypereutric Ferralsol
FRfr       Ferric Ferralsol
FRgi       Gibbsic Ferralsol
FRgl       Gleyic Ferralsol
FRgr       Geric Ferralsol
FRha       Haplic Ferralsol
FRhi       Histic Ferralsol
FRhu       Humic Ferralsol
FRlx       Lixic Ferralsol
FRmo       Mollic Ferralsol
FRpl       Plinthic Ferralsol
FRpo       Posic Ferralsol
FRro       Rhodic Ferralsol
FRstn      Endostagnic Ferralsol
FRum       Umbric Ferralsol
FRvt       Vetic Ferralsol
FRxa       Xanthic Ferralsol
GL         Gleysol
GLan       Andic Gleysol
GLap       Abruptic Gleysol
GLaq       Anthraquic Gleysol
GLar       Arenic Gleysol
GLau       Alumic Gleysol
GLax       Alcalic Gleysol
GLca       Calcaric Gleysol
GLcc       Calcic Gleysol
GLdy       Dystric Gleysol
GLeu       Eutric Gleysol
GLge       Gelic Gleysol
GLgy       Gypsic Gleysol
GLha       Haplic Gleysol
GLhi       Histic Gleysol
GLhu       Humic Gleysol
GLmo       Mollic Gleysol
GLpl       Plinthic Gleysol
GLso       Sodic Gleysol
GLszn      Endosalic Gleysol
GLtf       Tephric Gleysol
GLti       Thionic Gleysol
GLtx       Toxic Gleysol
GLty       Takyric Gleysol
GLum       Umbric Gleysol
GLvi       Vitric Gleysol
GY         Gypsisol
GYad       Aridic Gypsisol
GYaz       Arzic Gypsisol
GYcc       Calcic Gypsisol
GYdu       Duric Gypsisol
GYgyh      Hypergypsic Gypsisol
GYgyw      Hypogypsic Gypsisol
GYha       Haplic Gypsisol
GYle       Leptic Gypsisol
GYlv       Luvic Gypsisol
GYohh      Hyperochric Gypsisol
GYpt       Petric Gypsisol
GYsk       Skeletic Gypsisol
GYso       Sodic Gypsisol
GYszn      Endosalic Gypsisol
GYty       Takyric Gypsisol
GYvr       Vertic Gypsisol
GYye       Yermic Gypsisol
HS         Histosol
HSax       Alcalic Histosol
HScy       Cryic Histosol
HSdy       Dystric Histosol
HSeu       Eutric Histosol
HSfi       Fibric Histosol
HSfo       Folic Histosol
HSgc       Glacic Histosol
HSge       Gelic Histosol
HSom       Ombric Histosol
HSrh       Rheic Histosol
HSsa       Sapric Histosol
HSsz       Salic Histosol
HSti       Thionic Histosol
HStx       Toxic Histosol
KS         Kastanozem
